Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
87,848278,en,Jurassic Hunt,0.1176077148090778,2021-08-26,0.5263157894736842,153,"['Action', 'Science Fiction', 'Thriller']","Female adventurer Parker joins a crew of male trophy hunters in a remote wilderness park. Their goal: slaughter genetically recreated dinosaurs for sport using rifles, arrows, and grenades. After their guide is killed by raptors, the team tries to escape the park – but the hunters quickly become the hunted. Even worse, the park’s manager suspects Parker of being a spy and sends a hit squad after her. This battle’s about to become primitive!",0.0,83.0,This time it's mankind that's going extinct.
89,813258,en,Monster Pets: A Hotel Transylvania Short,0.11835236323761825,2021-04-02,0.7894736842105263,254,"['Animation', 'Comedy', 'Fantasy']",Drac tries out some new monster pets to help occupy Tinkles for playtime.,0.0,6.0,
90,512195,en,Red Notice,0.1085442908716157,2021-11-05,0.7789473684210526,19,"['Action', 'Comedy', 'Crime', 'Thriller']","An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",0.0,116.0,Pro and cons.
91,672322,ja,るろうに剣心 最終章 The Beginning,0.11937782581510725,2021-06-04,0.8315789473684211,202,"['Action', 'Adventure', 'Drama']","Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets gentle Tomoe Yukishiro, a beautiful young woman who carries a huge burden in her heart, his life will change forever.",0.0,138.0,
92,592350,ja,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,0.12575603809332297,2019-12-20,0.894736842105263,816,"['Animation', 'Action', 'Fantasy', 'Adventure']","Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",0.251055077248123,104.0,
93,878962,en,Sharkdog’s Fintastic Halloween,0.10012654310320451,2021-10-15,0.3894736842105263,3,"['Animation', 'Fantasy', 'Family']","The Sharkpack gets ready for Halloween with the spooky legend of the ""Fearsome Fog"" — and Sharkdog must save trick-or-treating from a slimy sea monster!",0.0,24.0,
94,763873,en,Under Wraps,0.10509243694838674,2021-10-01,0.7473684210526315,41,"['Comedy', 'Family', 'Fantasy']","Three friends try to save their mummified friend, Harold, from greedy criminals by returning him to his resting place before midnight on Halloween.",0.0,91.0,
95,843906,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,0.11956202418693504,2021-09-14,0.8736842105263158,221,"['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']","With Mystery, Inc. on the tail of a strange object in Nowhere, Kansas, the strange hometown of Eustice, Muriel, and Courage, the gang soon find themselves contending with a giant cicada monster and her winged warriors.",0.0,72.0,Ooga! Booga! Booga!
98,613504,en,After We Collided,0.11522216915773036,2020-09-02,0.7684210526315789,4262,"['Romance', 'Drama']",Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,0.3526425919136468,105.0,Can love overcome the past?
99,539885,en,Ava,0.11640826528335914,2020-07-02,0.6,1785,"['Action', 'Crime', 'Drama', 'Thriller']",A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,0.025085826909682644,96.0,Kill. Or be killed.
100,597316,en,My Little Pony: A New Generation,0.12197898960319979,2021-09-23,0.8526315789473683,131,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Music', 'Adventure']","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",0.0,91.0,Ride or Fly
101,522444,en,Black Water: Abyss,0.1052687803789852,2020-07-09,0.5368421052631578,284,"['Horror', 'Thriller', 'Adventure', 'Mystery']","An adventure-loving couple convince their friends to explore a remote, uncharted cave system in the forests of Northern Australia. With a tropical storm approaching, they abseil into the mouth of the cave, but when the caves start to flood, tensions rise as oxygen levels fall and the friends find themselves trapped. Unknown to them, the storm has also brought in a pack of dangerous and hungry crocodiles.",0.0,98.0,Descend into fear
102,680319,en,We Broke Up,0.104421624967402,2021-04-23,0.6,12,['Comedy'],Lori and Doug break up right before Lori's sister's wedding and decide to pretend they're still together for the weekend as to not disrupt the fun.,0.0,82.0,
